pid	code	cm_nat0	cm_nat1	cm_seat
2eff9b7b3890c57c53b7beb68f463199	59301	1	1	0
c03bec204e03f9194cff405eefb596d4	59301	1	1	0
29ffc148d47781c9015d7dd144a16cf9	59301	1	1	0
5a3c90fb6b030db00af54f48101a2626	59301	1	1	0
81e6b7f16418a31ffa1971983e320c23	59301	1	1	0
ad2c486e8e7fd14245d5c6669066af71	59301	1	1	0
f81d4e78a495508d844cf4c1e2898471	59301	1	1	0
25b9acdb0fb78d35725fe17229d2b5b6	59301	1	1	0
56c63191f5bf86f3121504b39386ff8a	59301	1	1	0
cc4f080739489bffc4e26b8f1648a80f	59301	1	1	0
08dde00bcd9c20c4f0ce569760df189e	59301	1	1	0
bd583ec71de59bc2f633f2ea0cbf2a44	59301	1	1	0
3659929e7d796548206ad5bc99239040	59301	1	1	0
6ab43d9cd9803a2c792853b62c115a7c	59301	1	1	0
061ca92b39558d93580a1c7ad94289e7	59301	1	1	0
28f37ab2f29f635479e767b5a4a75c50	59301	1	0	0
54eb9db162776d113129f3de416d167c	59301	1	1	0
da8ccab245e06fe4f05f723ca3f773ce	59301	1	1	0
81eda5688c6a69e1cacf2856deb08397	59301	1	1	0
27fbdd65ff2c98c098049bcfec95145c	59301	1	1	0
5334780157340fab558d14a37497968f	59301	1	0	0
a3d61c97b0b97862e6e1a6f496469ad3	59301	1	1	0
504e5885a4526e33c4681ef0491fa446	59301	1	0	0
7e9f64b7dc9acb4beb712584c676aefb	59301	1	1	0
2fcf6a30151f066e21c978cf12475d1d	59301	1	0	0
b101d519da0b1aff7b5a6285e8ffe062	59301	1	1	0
2decc678778eb834cc309bfd3d2c05db	59301	1	1	0
93983e8ad3cb7a1d3f8fc9f8618f797b	59301	1	1	0
bf6716c49f7d3005afd772bdf27c565d	59301	1	1	0
d094f5fb0ef383d13c319ca8d8290275	59301	1	1	0
ff4c265d0fdec7677afb204f23627891	59301	1	1	0
e7bab1dadce1fceddcf900d8450f06a1	59301	1	1	0
dfd5d8a4fcbdd3ba426a4e8881d8c898	59301	1	1	1
93a3baa64323a38d2c84859e41ae69d4	59301	1	1	0
8d28ea266a1ceea9a98ab597a9d1e9d6	59346	1	0	0
0a1bda15d09f344bb8cbe39205847825	59346	1	0	0
28e0f015bf15f5db20fd2813e4113e8f	59346	1	1	1
46c8458606c5464bdf34aae1d1d56c53	59346	1	0	0
c30e167d65a5db91643c8b99f6c9aac8	59346	1	0	0
7f85bd83229f6213e28d44ba618608a2	59346	1	0	0
c277e7d947c89527f11df11b1bdca4c2	59346	1	1	0
1683afcaf06dd0fdd9aae9a67098b277	59346	1	0	0
87fd4b359f583d19d4b1c18e946f87e8	59346	1	0	0
4f590f1719b1150f648b08d0237bd2e9	59346	1	0	0
7abb875a7b2f03f3dd642d1593467b9f	59346	1	0	0
1b329f9103be730f22991fd73ed2e120	59346	1	0	0
a54d81cc4353a139e4af29ff566d3975	59346	1	0	0
ed889d7a063ed0b6f8a017f85f91af96	59346	1	1	0
7c4142f6b9ffdc2c911080a024459e61	59370	1	1	0
0825c7eddef9933676445043879cb949	59370	1	0	0
4bde2781fbec5ff297cfeedcc7f39061	59370	1	1	0
85d114b0a7156dcf7777bb341b9261c9	59370	1	1	0
430181b513ad06b05617fb5b9186cbd5	59370	1	1	0
7756a394b8c4cb161638d93e19c6e9b9	59370	1	1	0
3abbc254e7ca156aa5b8a3a12bfae15c	59370	1	1	0
