code	pop	pop_fem	pop_60	pop_bac2	pop_ouvr
59602	1395	49.43	21.79	8.51	7.94
59603	6124	51.4	25.12	6.61	16.08
59604	809	49.86	24.86	6.51	12.29
59605	1497	51.43	20.36	13.09	15.35
59606	42991	51.29	22.25	7.45	13.05
59607	484	52.84	22.03	12.13	18.44
59608	1118	49.3	25.27	9.95	8.11
59609	1546	52	24.45	11.38	15.57
59610	1102	50.84	22.11	11.69	12.13
59611	2673	52.01	24.38	10.58	9.33
59612	513	50.95	22.36	8.41	8.78
59613	1473	51.17	20.28	8.62	14.34
59614	1379	52.27	28.7	6.05	13.44
59615	2649	51.48	24.57	9.31	12.98
59616	10446	50.89	25	5.07	12.84
59617	637	49.47	19.25	8.99	16.57
59618	907	49.95	21.54	9.11	12.22
59619	1057	51.22	27.14	10.91	12.94
59620	667	51.07	26.19	8.65	14.21
59622	1161	50.35	26.18	9.27	13.85
59623	680	53.27	23.91	6.47	14.15
59624	2156	50.29	27.49	4.79	8.93
59625	389	47.5	23.62	11.24	18.8
59626	1262	51.18	28.39	9.36	9.26
59627	1006	50.94	25.96	8.56	12.8
59628	560	48.05	27.93	10.19	10.66
59629	1311	50.84	27	10.08	13.95
59630	2605	51.12	24.14	9.03	11.8
59631	2112	51.23	25.27	7.13	11.26
59632	5598	51.83	25.53	7.74	10.7
59633	280	47.83	25.77	9.02	12.36
59634	788	48.58	33	12.38	11.2
59635	368	53.99	23.38	12.47	15.21
59636	10798	52.04	25.33	9.81	13.28
59637	1318	47.95	22.59	11.75	13.46
59638	1331	50.59	16.41	9.63	12.38
59639	1101	50.47	21.02	9	12.28
59640	780	52.47	23.52	11.11	10.4
59641	2022	48.2	29.04	10.56	13.8
59642	594	48.29	18.55	11.85	5.79
59643	234	46.78	26.61	11.16	4.29
59645	587	50.77	26.21	8.56	12.42
59646	20836	53.09	24.57	8.74	12.17
59647	2577	52.74	28.6	6.06	12.47
59648	15531	53.8	23.79	8.34	13.27
59649	241	50.63	22.18	12.97	27.2
59650	40836	52.9	22.22	6.29	15.6
59651	1616	52.91	23.4	5.81	15.42
59652	424	49.28	21.47	6.27	15
59653	7773	51.36	22.8	9.35	13.85
59654	7354	52.22	21.38	5.03	12.93
59655	237	50.22	20.09	12.66	8.73
59656	5299	51.39	22.61	9.2	10.99
